track_id,parent_id,start_frame,end_frame,morphology_class,area,length,width,centroid_x,centroid_y
1604,0,14,14,Divided,416.0,34.69,15.94,1138.43,1016.81
1605,0,14,23,Divided,532.88,45.06,15.75,459.91,987.36
1606,0,15,17,Elongated,1873.5,149.63,14.35,1113.65,24.22
1607,0,15,15,Divided,342.0,34.2,12.83,1038.31,27.0
1609,0,15,15,,3781.0,194.44,41.77,378.94,108.31
1613,0,15,25,,2176.71,159.45,17.85,1032.18,166.0
1614,0,15,16,,1053.0,75.28,18.56,856.79,168.68
1615,0,15,26,Divided,439.45,34.75,17.63,832.84,195.65
1616,0,15,28,,684.21,49.31,18.19,821.45,177.0
1617,0,15,15,,222.0,19.78,14.35,251.21,199.21
1620,0,15,36,Divided,506.41,37.56,17.89,389.08,270.42
1621,0,15,15,Divided,265.0,28.01,14.46,917.12,279.41
1622,0,15,16,,1530.5,124.85,18.07,629.25,306.51
1623,0,15,19,,1399.0,116.91,16.79,1121.8,271.5
1625,0,15,25,Divided,614.9,52.21,16.4,537.27,322.0
1626,0,15,22,Divided,508.62,35.77,19.67,533.4,338.01
1627,0,15,28,,1490.11,114.99,16.32,1134.09,239.54
1628,0,15,23,,948.75,82.04,17.65,835.13,339.61
1629,0,15,16,,246.0,20.21,15.92,472.27,375.12
1630,0,15,18,,1771.33,129.59,18.12,625.1,395.31
1631,0,15,20,,1001.33,83.65,17.58,1143.21,484.12
1633,0,15,15,,206.0,20.69,13.07,407.6,488.53
1634,0,15,28,Divided,653.89,57.99,16.63,1185.9,450.83
1635,0,15,34,,1042.42,76.9,18.58,298.6,490.05
1636,0,15,26,Divided,903.55,63.1,21.42,966.33,526.12
1637,0,15,18,Divided,827.25,67.27,17.71,1057.89,554.62
1638,274,15,17,,971.33,69.66,19.28,932.33,532.18
1639,0,15,24,,758.0,71.12,13.93,218.27,566.27
1642,0,15,31,Elongated,10125.45,620.39,33.89,341.87,776.68
1643,0,15,18,,944.0,87.67,15.41,266.28,686.29
1644,0,15,22,,1628.5,127.86,17.59,381.9,779.75
1646,0,15,34,Divided,1106.86,86.48,16.54,1176.65,798.52
1647,439,15,34,Divided,823.26,53.01,22.3,652.19,785.99
1649,0,15,31,,1604.58,119.36,21.03,1353.64,899.94
